date,open,high,low,close,volume,adj
2000-01-03,147.5,154.25,147.5,150,2667220,68.885078
2000-01-04,148.5,149,142.5,144,3065326,66.129677
2000-01-05,,,,,,
2000-01-06,,,,,,
2000-01-07,136,145,136,138.5,2571792,63.603897
2000-01-10,142.5,149.75,142.5,143,2007066,65.670448
2000-01-11,145,154,143.75,154,3824130,70.722031
2000-01-12,151.5,154,148.25,154,3244754,70.722031
2000-01-13,154.75,159.75,152.25,157.5,2875608,72.329338
2000-01-14,160,160,153.5,155,2247648,71.181252
2000-01-17,157.5,160.5,157.5,160.5,2341134,73.707062
2000-01-18,159.75,163.5,158.25,162,1997256,74.395897
2000-01-19,160,160,153,156.25,2834386,71.75531
2000-01-20,156.5,160,156,157.5,2210594,72.329338
2000-01-21,156.5,163,155,160.5,2195456,73.707062
2000-01-24,161.5,163,158.25,159.75,2423902,73.36261
2000-01-25,157.5,166.25,156,165.5,4017204,76.003212
2000-01-26,167,170,165,165.75,3116806,76.118034
2000-01-27,165.25,169.75,151.5,156.75,8715096,71.984917
2000-01-28,153.75,153.75,142,142.5,12002378,65.440826
2000-01-31,143.5,143.5,135,135,9392952,61.996582
2000-02-01,137.5,144.25,131,144.25,20861162,66.244492
2000-02-02,145,146.5,138.75,143,7196622,65.670448
2000-02-03,142,142,137,137,3738754,62.915035
2000-02-04,137.5,140,131.5,134.5,7601408,61.76696
2000-02-07,134.5,136,130.25,131.5,4027802,60.389256
2000-02-08,134,139,131.75,138.5,3984404,63.603897
2000-02-09,140.25,143.5,138.5,138.5,5533338,63.603897
2000-02-10,138.5,141,135.5,138.75,3411080,63.7187
2000-02-11,140,142.5,137,141.75,3215328,65.096397
2000-02-14,141.5,148.25,141,146,3186314,67.048149
2000-02-15,146.5,148,140.25,141,3703096,64.751984
2000-02-16,141.5,144.75,140.75,142.5,3563614,65.440826
2000-02-17,142.5,142.75,140,141.5,3366972,64.981613
2000-02-18,140,140.5,136.75,138.75,3287146,63.7187
2000-02-21,136.5,139.5,136.5,137.5,2039796,63.144672
2000-02-22,137.5,137.5,134.5,135.25,5610510,62.111378
2000-02-23,135,138.5,132.75,133.75,3637324,61.422546
2000-02-24,135.25,145.5,135,143.25,8591762,65.785255
2000-02-25,145,148.5,142.25,145.75,3031996,66.933342
2000-02-28,145.75,147,143,145,1880100,66.588913
2000-02-29,145,146,142.5,144.75,1682464,66.474098
2000-03-01,146,154,146,151.5,4177078,69.573959
2000-03-02,154.5,163.5,151.75,163,5191004,74.855133
2000-03-03,163,171,161,163,3710670,74.855133
2000-03-06,165.5,171.5,117.5,166.5,4084018,76.46244
2000-03-07,167.5,167.75,161.5,164.5,3412202,75.543983
2000-03-08,159,159.5,150.25,152.5,6198606,70.03318
2000-03-09,155,158.75,154.5,154.5,3414270,70.951645
2000-03-10,158,158.5,155.75,157.5,1671800,72.329338
2000-03-13,,,,,,
2000-03-14,151,154.5,150.25,152,1975138,69.803551
2000-03-15,152.5,153,150,151.75,1753212,69.688751
2000-03-16,154,156,152,153,2090754,70.262794
2000-03-17,156.5,160.5,153.5,155.25,1882160,71.296059
2000-03-20,160,166.75,158.5,164.25,4296446,75.429161
2000-03-21,166.5,169,164,166,7506912,76.232826
2000-03-22,170,171,168,169.75,1834816,77.954979
2000-03-23,167.5,169,109,122.25,109600624,56.14135
2000-03-24,124.5,125,114,115,51634322,52.811897
2000-03-27,115,119.75,112.75,119.75,11589792,54.993267
2000-03-28,120,122.25,115.5,118.25,7268522,54.304405
2000-03-29,116,116,107.25,110.25,10243274,50.630547
2000-03-30,109,111.5,105.25,106.5,6651094,48.908401
2000-03-31,111.5,120,111.5,120,8892422,55.108086
2000-04-03,125,128.5,120,126.5,15783034,58.093079
2000-04-04,127.5,131,126,128.25,10193806,58.89674
2000-04-05,128,128,118.5,121.25,7694846,55.68211
2000-04-06,121.5,124.75,120.75,123,3437470,56.485775
2000-04-07,125,125,118.75,120,4600954,55.108086
2000-04-10,121.5,122,117.75,118.25,2304278,54.304405
2000-04-11,118,119.5,115.5,119.5,2658706,54.878456
2000-04-12,120,120.5,117,117,2242816,53.730362
2000-04-13,115,121,114,118,5527738,54.189606
2000-04-14,115,118,112.5,115.5,4871904,53.346676
2000-04-17,107.5,113.5,107.5,111,4427814,51.268238
2000-04-18,114.5,120,112.5,117,3564074,54.039494
2000-04-19,120,121.75,118,121,3868156,55.886997
2000-04-20,121.5,125,120,124.5,2227784,57.503574
2000-04-21,,,,,,
2000-04-24,,,,,,
2000-04-25,126,126.75,122,123.75,2990240,57.157162
2000-04-26,125,126,118.75,122,2442040,56.348869
2000-04-27,121.5,123.5,119.5,121.5,2316456,56.117935
2000-04-28,122,122.75,115,121.25,4058372,56.002464
2000-05-01,,,,,,
2000-05-02,120.5,121.75,117.25,119,4996948,54.963242
2000-05-03,117.5,123.25,117,121.75,2648704,56.233402
2000-05-04,120,123.25,120,120.5,2715144,55.656052
2000-05-05,121.5,122.75,120.75,121,1610002,55.886997
2000-05-08,121,121,118,119,2327310,54.963242
2000-05-09,,,,,,
2000-05-10,117,117.75,114,115.75,3662834,53.462158
2000-05-11,114.75,118,114.5,117.5,3098746,54.27042
2000-05-12,118,121.25,118,119.5,2922632,55.194172
2000-05-15,119.5,122,119,121.25,2828582,56.002464
2000-05-16,121.75,123,119.25,120.25,1068388,55.540581
2000-05-17,119.5,119.5,117.25,117.5,2001092,54.27042
2000-05-18,117.5,120,117,118.75,3694510,54.847778
2000-05-19,118.5,118.75,115.5,115.75,3040278,53.462158
2000-05-22,115,115.75,111.75,113,4466690,52.19199
2000-05-23,115,116,114,115.75,3229464,53.462158
2000-05-24,112.5,114,109.5,110,6447852,50.806362
2000-05-25,111,113.5,110.75,111.25,2629890,51.383701
2000-05-26,110.75,111.5,107.5,110.5,6471774,51.037296
