country,iso3c,cat,wbgdp2011est,wbpopest,v2x_polyarchy,polity2,xm_qudsest
Australia,AUS,EE: Stable Democracies,112362939467.909,8072711.65069096,0.782,10,1.86558025207264
Belgium,BEL,EE: Stable Democracies,77535365635.5675,8285354.53232277,0.685,10,1.84789307854286
Canada,CAN,EE: Stable Democracies,178704599955.926,13322967.7191782,0.75,10,1.51901491384856
Denmark,DNK,EE: Stable Democracies,46559644265.7507,4089772.89670771,0.896,10,1.57800708360532
Ireland,IRL,EE: Stable Democracies,17685306667.5647,2856192.49391349,0.801,8,1.20378110729655
Luxembourg,LUX,EE: Stable Democracies,4156752677.42687,284930.337628678,0.832,10,1.75078892437621
Netherlands,NLD,EE: Stable Democracies,92826685994.8995,9635839.63211444,0.791,10,1.71256054722174
New Zealand,NZL,EE: Stable Democracies,24797284793.7366,1823010.84020859,0.795,10,1.84789307854286
Norway,NOR,EE: Stable Democracies,34354539459.5582,3147125.32847705,0.803,10,1.70547688256346
Sweden,SWE,EE: Stable Democracies,78707162626.421,6695860.1143111,0.767,10,1.78917366951273
Switzerland,CHE,EE: Stable Democracies,72874163281.9597,4501854.58572792,0.632,10,1.00516038249483
United Kingdom,GBR,EE: Stable Democracies,570626090867.341,48788246.9193632,0.809,10,1.89914073244334
United States,USA,EE: Stable Democracies,2562488570268.23,149230104.773278,0.587,10,1.27010633019339
Austria,AUT,EE: Unstable Democracies and Dictatorships,42255484796.8106,6675802.63522989,0.805,10,1.787988
Bulgaria,BGR,EE: Unstable Democracies and Dictatorships,22708383263.0702,6997055.67025641,0.168,-7,-0.459540499411872
Czechoslovakia,CSK,EE: Unstable Democracies and Dictatorships,74420702538.1712,11923240.0626232,,-7,-0.504172939158317
Finland,FIN,EE: Unstable Democracies and Dictatorships,28839159344.6189,3843907.5564776,0.829,10,1.57582075187575
France,FRA,EE: Unstable Democracies and Dictatorships,354509152273.501,40426658.9374839,0.738,10,1.57759585637752
West Germany,DEU,EE: Unstable Democracies and Dictatorships,393757076898.384,56797337.0687542,0.831,10,1.6878135
Greece,GRC,EE: Unstable Democracies and Dictatorships,25121753976.1461,7319115.16842046,0.316,4,0.6059864516375
Hungary,HUN,EE: Unstable Democracies and Dictatorships,41918789495.3483,8975417.41596738,0.115,-7,-0.484774787156196
Iceland,ISL,EE: Unstable Democracies and Dictatorships,1282401078.16592,137310.491252697,0.816,,1.73749760589567
Italy,ITA,EE: Unstable Democracies and Dictatorships,253087217634.472,45535372.5240848,0.704,10,1.78251998517723
Poland,POL,EE: Unstable Democracies and Dictatorships,113039143688.767,23986458.5021977,0.18,-7,-0.41092388662387
Portugal,PRT,EE: Unstable Democracies and Dictatorships,28014834208.7387,7960481.13428856,0.123,-9,-0.634363950717164
Romania,ROU,EE: Unstable Democracies and Dictatorships,35685133127.7997,15681621.8210078,0.133,-7,-0.484774787156196
Spain,ESP,EE: Unstable Democracies and Dictatorships,110358500626.614,27316459.757741,0.072,-7,-0.590307684377095
Yugoslavia,YUG,EE: Unstable Democracies and Dictatorships,45729068278.2849,15807577.9483198,0.097,-7,-0.511571715374137
Argentina,ARG,LAN: Democracies and Unstable Dictatorships,94607254867.972,16452697.4424973,0.383,-9,0.265820467852897
Brazil,BRA,LAN: Democracies and Unstable Dictatorships,126056997156.55,50728579.0957896,0.408,5,0.796652303052418
Chile,CHL,LAN: Democracies and Unstable Dictatorships,34526742305.2143,5926829.65590428,0.401,2,0.693948347845132
Colombia,COL,LAN: Democracies and Unstable Dictatorships,43325187487.2601,11296460.4488577,0.142,-5,-0.115706039854464
Costa Rica,CRI,LAN: Democracies and Unstable Dictatorships,3151045060.49958,827363.981571983,0.58,10,1.00811547437877
Mexico,MEX,LAN: Democracies and Unstable Dictatorships,128603517418.861,26642013.9632478,0.201,-6,-0.155211278350244
Uruguay,URY,LAN: Democracies and Unstable Dictatorships,16179324522.1283,2109581.19506466,0.801,0,0.826702320453552
Bolivia,BOL,LAN: Stable Dictatorships,8345597572.96217,2763476.37147007,0.164,-5,-0.127896687551893
Cuba,CUB,LAN: Stable Dictatorships,20201041511.5071,5422133.87603382,0.415,3,0.780148915125502
Dominican Republic,DOM,LAN: Stable Dictatorships,4839126179.74309,2226630.46838666,0.149,-9,-0.719420109867641
Ecuador,ECU,LAN: Stable Dictatorships,8977614158.03665,3201083.80663171,0.347,2,0.665376656463955
El Salvador,SLV,LAN: Stable Dictatorships,2819992324.26251,1846864.69524822,0.146,-6,-0.194822949628837
Guatemala,GTM,LAN: Stable Dictatorships,8995587353.5572,2850485.8175043,0.409,2,0.605238727293286
Haiti,HTI,LAN: Stable Dictatorships,5781910492.20728,3014667.19811661,0.09,-5,-0.100245145757031
Honduras,HND,LAN: Stable Dictatorships,3465074603.67974,1372301.75344684,0.254,-3,0.0494651387877163
Nicaragua,NIC,LAN: Stable Dictatorships,4025842328.16325,1103502.75359024,0.14,-8,-0.547358357768787
Panama,PAN,LAN: Stable Dictatorships,2410258885.38188,823237.486498668,0.346,-1,0.282654607669959
Paraguay,PRY,LAN: Stable Dictatorships,3675665346.90098,1366823.51022383,0.167,-5,-0.181180863403011
Peru,PER,LAN: Stable Dictatorships,23992329211.0509,7519423.26875306,0.124,-2,0.0455155418438036
Venezuela,VEN,LAN: Stable Dictatorships,48025598126.2351,4925813.51668387,0.106,-3,-0.11871983558007
