obs,wage,female,nonwhite,union,education,exper,age,wind,femalenonw,lnwage,education_exper,_Ifemale_1,_IfemXeduca_1,_IfemXexper_1,_Inonwhite_1,_InonXeduca_1
1,11.5500001907349,1,0,0,12,20,38,1,0,2.44668555259705,240,1,12,20,0,0
2,5,0,0,0,9,9,24,0,0,1.60943794250488,81,0,0,0,0,0
3,12,0,0,0,16,15,37,1,0,2.4849066734314,240,0,0,0,0,0
4,7,0,1,1,14,38,58,0,0,1.94591009616852,532,0,0,0,1,14
5,21.1499996185303,1,1,0,16,19,41,1,1,3.05163979530334,304,1,16,19,1,16
6,6.92000007629395,1,0,0,12,4,22,1,0,1.93441581726074,48,1,12,4,0,0
7,10,1,0,0,12,14,32,0,0,2.30258512496948,168,1,12,14,0,0
8,8,1,1,0,12,32,50,0,1,2.0794415473938,384,1,12,32,1,12
9,15.6300001144409,0,0,0,18,7,31,1,0,2.749192237854,126,0,0,0,0,0
10,18.2199993133545,1,0,0,18,5,29,1,0,2.90251994132996,90,1,18,5,0,0
11,20,0,0,0,20,31,57,1,0,2.99573230743408,620,0,0,0,0,0
12,4.34999990463257,1,0,0,12,7,25,0,0,1.47017586231232,84,1,12,7,0,0
13,5,0,0,0,5,31,42,0,0,1.60943794250488,155,0,0,0,0,0
14,8.25,0,1,0,12,14,32,0,0,2.11021327972412,168,0,0,0,1,12
15,15,0,0,1,12,15,33,0,0,2.70805025100708,180,0,0,0,0,0
16,19,1,1,1,14,26,46,0,1,2.94443893432617,364,1,14,26,1,14
17,18,0,1,1,14,23,43,0,0,2.89037179946899,322,0,0,0,1,14
18,7.07000017166138,0,0,1,16,4,26,0,0,1.95586049556732,64,0,0,0,0,0
19,8,0,0,0,14,16,36,0,0,2.0794415473938,224,0,0,0,0,0
20,25,0,0,0,14,27,47,1,0,3.21887588500977,378,0,0,0,0,0
21,17.2999992370605,1,0,0,12,44,62,1,0,2.85070633888245,528,1,12,44,0,0
22,16,1,0,0,12,38,56,0,0,2.7725887298584,456,1,12,38,0,0
23,5,1,0,0,12,19,37,0,0,1.60943794250488,228,1,12,19,0,0
24,8.25,0,0,0,12,13,31,0,0,2.11021327972412,156,0,0,0,0,0
25,8,1,0,1,12,14,32,0,0,2.0794415473938,168,1,12,14,0,0
26,13.6899995803833,1,1,0,12,20,38,0,1,2.61666560173035,240,1,12,20,1,12
27,19.8999996185303,0,0,0,12,26,44,1,0,2.99071979522705,312,0,0,0,0,0
28,22,1,1,1,12,17,35,0,1,3.09104251861572,204,1,12,17,1,12
29,6.5,1,0,0,12,1,19,0,0,1.8718022108078,12,1,12,1,0,0
30,12,1,1,0,12,19,37,0,1,2.4849066734314,228,1,12,19,1,12
31,13.3900003433228,0,0,0,12,34,52,0,0,2.59450817108154,408,0,0,0,0,0
32,36.8499984741211,0,0,0,20,21,47,1,0,3.60685563087463,420,0,0,0,0,0
33,27.4699993133545,0,0,0,16,25,47,0,0,3.3130943775177,400,0,0,0,0,0
34,6,0,1,0,12,2,20,0,0,1.7917594909668,24,0,0,0,1,12
35,21.5400009155273,1,0,1,18,19,43,1,0,3.06991171836853,342,1,18,19,0,0
36,12.4300003051758,0,0,0,12,7,25,1,0,2.52011299133301,84,0,0,0,0,0
37,19.7000007629395,0,0,0,12,33,51,1,0,2.98061871528625,396,0,0,0,0,0
38,7.5,1,0,0,12,11,29,1,0,2.01490306854248,132,1,12,11,0,0
39,25.9500007629395,0,0,0,18,12,36,1,0,3.25617170333862,216,0,0,0,0,0
40,25.9500007629395,1,0,0,16,13,35,1,0,3.25617170333862,208,1,16,13,0,0
41,11.5299997329712,1,0,0,18,29,53,1,0,2.44495224952698,522,1,18,29,0,0
