obs,output,labor,capital,lnoutput,lnlabor,lncapital,lnoutlab,lncaplab,outputstar,capitalstar,laborstar
1,38372840,424471,2689076,17.4628601074219,12.9585990905762,14.804708480835,4.50426149368286,1.8461092710495,-0.107987359166145,0.0636888742446899,0.13438905775547
2,1805427,19895,57997,14.406307220459,9.89822387695313,10.9681463241577,4.50808382034302,1.06992280483246,-0.923066020011902,-0.905514001846314,-0.94105327129364
3,23736129,206893,2308272,16.9825096130371,12.2399568557739,14.6520099639893,4.74255180358887,2.41205263137817,-0.4342360496521,-0.0765867829322815,-0.443975925445557
4,26981983,304055,1376235,17.1106796264648,12.624963760376,14.134861946106,4.48571586608887,1.50989818572998,-0.361886769533157,-0.419918537139893,-0.185700267553329
5,217546032,1809756,13554116,19.1979217529297,14.4087028503418,16.4222011566162,4.78921842575073,2.01349830627441,3.88573908805847,4.06601190567017,3.81674814224243
6,19462751,180366,1790751,16.7840137481689,12.1027431488037,14.3981456756592,4.68126964569092,2.29540228843689,-0.529488623142242,-0.267224490642548,-0.514489889144897
7,28972772,224267,1210229,17.1818675994873,12.320592880249,14.0063199996948,4.86127424240112,1.68572759628296,-0.317512571811676,-0.481069684028626,-0.397792428731918
8,14313157,54455,421064,16.4766902923584,10.9051303863525,12.9505405426025,5.57155990600586,2.04541015625,-0.644271790981293,-0.771772086620331,-0.84918600320816
9,159921,2029,7188,11.9824352264404,7.6152982711792,8.88016796112061,4.36713695526123,1.26486992835999,-0.959743976593018,-0.924230396747589,-0.988544583320618
10,47289846,471211,2761281,17.6718063354492,13.0630617141724,14.831205368042,4.60874509811401,1.7681440114975,0.0907705202698708,0.0902868211269379,0.258633136749268
11,63015125,659379,3540475,17.9588851928711,13.3990535736084,15.0797710418701,4.5598316192627,1.6807177066803,0.441283136606216,0.377316236495972,0.758820593357086
12,1809052,17528,146371,14.4083137512207,9.77155494689941,11.8938999176025,4.63675880432129,2.12234497070312,-0.922985196113586,-0.872959971427918,-0.947345197200775
13,10511786,75414,848220,16.1680068969727,11.2307481765747,13.6508951187134,4.93725967407227,2.42014718055725,-0.729003429412842,-0.614421904087067,-0.79347288608551
