pdi,pce,year,time,lnpce,lnpdi
10865,9871,1960,1,9.19735622406006,9.29330158233643
11052,9911,1961,2,9.20140075683594,9.3103666305542
11413,10243,1962,3,9.23435020446777,9.34250831604004
11672,10512,1963,4,9.26027297973633,9.36494827270508
12342,10985,1964,5,9.30428600311279,9.42076301574707
12939,11535,1965,6,9.35314083099365,9.46800136566162
13465,12050,1966,7,9.39682006835938,9.50784873962402
13904,12276,1967,8,9.41540145874023,9.53993225097656
14392,12856,1968,9,9.46156597137451,9.57442760467529
14706,13206,1969,10,9.48842620849609,9.5960111618042
15158,13361,1970,11,9.50009536743164,9.62628364562988
15644,13696,1971,12,9.52485942840576,9.6578426361084
16228,14384,1972,13,9.57387161254883,9.69449329376221
17166,14953,1973,14,9.61266708374023,9.7506856918335
16878,14693,1974,15,9.59512615203857,9.73376655578613
17091,14881,1975,16,9.6078405380249,9.74630737304688
17600,15558,1976,17,9.65233039855957,9.77565383911133
18025,16051,1977,18,9.68352603912354,9.79951477050781
18670,16583,1978,19,9.71613311767578,9.83467292785645
18897,16790,1979,20,9.72853851318359,9.84675884246826
18863,16538,1980,21,9.71341609954834,9.84495735168457
19173,16623,1981,22,9.71854209899902,9.8612585067749
19406,16694,1982,23,9.72280502319336,9.8733377456665
19868,17489,1983,24,9.76932716369629,9.89686584472656
21105,18256,1984,25,9.81224918365479,9.95726490020752
21571,19037,1985,26,9.85413932800293,9.97910499572754
22083,19630,1986,27,9.88481426239014,10.0025634765625
22246,20055,1987,28,9.90623378753662,10.0099172592163
22997,20675,1988,29,9.93668079376221,10.043119430542
23385,21060,1989,30,9.9551305770874,10.0598497390747
23568,21249,1990,31,9.96406555175781,10.067645072937
23453,21000,1991,32,9.95227813720703,10.0627536773682
23958,21430,1992,33,9.97254753112793,10.0840578079224
24044,21904,1993,34,9.99442481994629,10.0876407623291
24517,22466,1994,35,10.0197582244873,10.1071224212647
24951,22803,1995,36,10.034646987915,10.1246690750122
25475,23325,1996,37,10.0572814941406,10.1454524993896
26061,23899,1997,38,10.0815916061401,10.168194770813
27299,24861,1998,39,10.1210556030273,10.2146053314209
27805,25923,1999,40,10.1628856658936,10.2329711914063
28899,26939,2000,41,10.2013301849365,10.2715625762939
29299,27385,2001,42,10.2177505493164,10.2853088378906
29976,27841,2002,43,10.2342653274536,10.3081521987915
30442,28357,2003,44,10.2526292800903,10.3235788345337
31193,29072,2004,45,10.277530670166,10.3479490280151
31318,29771,2005,46,10.301290512085,10.3519487380981
32271,30341,2006,47,10.320255279541,10.3819246292114
32648,30838,2007,48,10.3365030288696,10.3935384750366
32514,30479,2008,49,10.3247928619385,10.3894262313843
