year,pce,dpi
1960,9871,10865
1961,9911,11052
1962,10243,11413
1963,10512,11672
1964,10985,12342
1965,11535,12939
1966,12050,13465
1967,12276,13904
1968,12856,14392
1969,13206,14706
1970,13361,15158
1971,13696,15644
1972,14384,16228
1973,14953,17166
1974,14693,16878
1975,14881,17091
1976,15558,17600
1977,16051,18025
1978,16583,18670
1979,16790,18897
1980,16538,18863
1981,16623,19173
1982,16694,19406
1983,17489,19868
1984,18256,21105
1985,19037,21571
1986,19630,22083
1987,20055,22246
1988,20675,22997
1989,21060,23385
1990,21249,23568
1991,21000,23453
1992,21430,23958
1993,21904,24044
1994,22466,24517
1995,22803,24951
1996,23325,25475
1997,23899,26061
1998,24861,27299
1999,25923,27805
2000,26939,28899
2001,27385,29299
2002,27841,29976
2003,28357,30442
2004,29072,31193
2005,29771,31318
2006,30341,32271
2007,30838,32648
2008,30479,32514
2009,30042,32637
